"","Date","hour","MeterID","MonthRead","count","fd"
"121","2017-12-15",10,1030664,68,1440,6
"122","2017-12-15",11,1030664,42,1440,4
"123","2017-12-15",12,1030664,47,1440,4
"124","2017-12-16",1,1030664,1,1440,1
"125","2017-12-16",2,1030664,3,1440,3
"126","2017-12-16",3,1030664,7,1440,7
"127","2017-12-16",4,1030664,7,1440,7
"128","2017-12-16",5,1030664,5,1440,5
"129","2017-12-16",8,1030664,2,1440,2
"130","2017-12-16",10,1030664,1,1440,1
"131","2017-12-17",1,1030664,1,1440,1
"132","2017-12-17",2,1030664,2,1440,2
"133","2017-12-17",3,1030664,8,1440,8
"134","2017-12-17",4,1030664,15,1440,1
"135","2017-12-17",5,1030664,9,1440,9
"136","2017-12-17",10,1030664,5,1440,5
"137","2017-12-17",11,1030664,2,1440,2
"138","2017-12-18",1,1030664,43,1440,4
"139","2017-12-18",2,1030664,31,1440,3
"140","2017-12-18",3,1030664,54,1440,5
"141","2017-12-18",4,1030664,20,1440,2
"142","2017-12-18",5,1030664,6,1440,6
"143","2017-12-18",6,1030664,76,1440,7
"144","2017-12-18",7,1030664,90,1440,9
"145","2017-12-18",8,1030664,70,1440,7
"146","2017-12-18",9,1030664,63,1440,6
"147","2017-12-18",10,1030664,51,1440,5
"148","2017-12-18",11,1030664,48,1440,4
"149","2017-12-18",12,1030664,42,1440,4
"150","2017-12-19",1,1030664,35,1440,3
"151","2017-12-19",2,1030664,35,1440,3
"152","2017-12-19",3,1030664,37,1440,3
"153","2017-12-19",4,1030664,16,1440,1
"154","2017-12-19",5,1030664,55,1440,5
"155","2017-12-19",6,1030664,37,1440,3
"156","2017-12-19",7,1030664,25,1440,2
"157","2017-12-19",8,1030664,30,1440,3
"158","2017-12-19",9,1030664,49,1440,4
"159","2017-12-19",10,1030664,51,1440,5
"160","2017-12-19",11,1030664,71,1440,7
"161","2017-12-19",12,1030664,53,1440,5
"162","2017-12-20",1,1030664,41,1440,4
"163","2017-12-20",2,1030664,34,1440,3
"164","2017-12-20",3,1030664,32,1440,3
"165","2017-12-20",4,1030664,29,1440,2
"166","2017-12-20",5,1030664,11,1440,1
"167","2017-12-20",6,1030664,40,1440,4
"168","2017-12-20",7,1030664,80,1440,8
"169","2017-12-20",8,1030664,52,1440,5
"170","2017-12-20",9,1030664,50,1440,5
"171","2017-12-20",10,1030664,68,1440,6
"172","2017-12-20",11,1030664,35,1440,3
"173","2017-12-20",12,1030664,45,1440,4
"174","2017-12-21",1,1030664,34,1440,3
"175","2017-12-21",2,1030664,49,1440,4
